RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10
1,NYLClose,23,4,0.852,--,15-2,12-1,11-3,W6,9-1
2,CON,19,6,0.760,3,10-4,10-3,9-3,W1,6-4
3,MIN,19,8,0.704,4,11-4,12-3,7-5,W3,6-4
4,SEA,17,9,0.654,5.5,8-6,11-3,6-6,L1,7-3
5,LVA,16,9,0.640,6,8-5,8-6,8-3,L2,7-3
6,PHO,14,13,0.519,9,9-6,8-4,6-9,L1,5-5
7,IND,12,15,0.444,11,7-8,7-5,5-10,W1,5-5
8,CHI,11,15,0.423,11.5,5-9,4-9,7-6,W1,5-5
9,ATL,8,17,0.320,14,3-10,4-8,4-9,W1,2-8
10,LAS,6,20,0.231,16.5,4-10,4-10,2-10,L3,2-8
11,DAL,6,20,0.231,16.5,3-12,4-8,2-12,L1,3-7
12,WAS,6,21,0.222,17,3-10,3-10,3-11,L4,2-8
