RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,32,7,0.821,--,16-3,16-3,16-4,W1,7-3,True
2,MIN,30,9,0.769,2,14-5,16-3,14-6,W7,9-1,True
3,CON,27,12,0.692,5,13-6,13-6,14-6,L2,5-5,True
4,LVA,26,13,0.667,6,11-8,12-7,14-6,W4,8-2,True
5,SEA,24,15,0.615,8,12-7,14-6,10-9,L1,6-4,True
6,IND,20,19,0.513,12,11-8,12-8,8-11,W1,7-3,True
7,PHO,19,20,0.487,13,10-9,10-9,9-11,W2,4-6,True
8,ATL,14,25,0.359,18,6-13,8-12,6-13,W2,4-6,False
9,WAS,13,26,0.333,19,6-13,4-15,9-11,L2,6-4,False
10,CHI,13,26,0.333,19,5-14,6-14,7-12,L4,2-8,False
11,DALCircle,9,30,0.231,23,6-13,7-13,2-17,L8,2-8,False
12,LASCircle,7,32,0.179,25,4-15,5-15,2-17,L8,1-9,False
