RANK,TEAM,W,L,PCT,GB,CONF,HOME,ROAD,STREAK,L-10,PLAYOFFS
1,NYL,28,6,0.824,--,15-3,15-2,13-4,W2,8-2,True
2,CON,24,9,0.727,3.5,13-6,13-4,11-5,L1,6-4,True
3,MIN,24,9,0.727,3.5,14-5,15-3,9-6,W1,8-2,True
4,LVA,21,12,0.636,6.5,10-8,11-7,10-5,W3,5-5,True
5,SEA,20,14,0.588,8,8-6,12-5,8-9,L1,4-6,True
6,IND,18,16,0.529,10,10-8,10-5,8-11,W5,8-2,True
7,PHO,17,18,0.486,11.5,9-8,10-8,7-10,L1,4-6,True
8,CHI,11,22,0.333,16.5,5-12,4-12,7-10,L7,2-8,False
9,ATL,11,22,0.333,16.5,4-11,6-10,5-12,L1,4-6,False
10,WAS,11,23,0.324,17,4-11,4-12,7-11,W2,5-5,False
11,DAL,9,24,0.273,18.5,6-12,7-10,2-14,L2,4-6,False
12,LAS,7,26,0.212,20.5,4-12,5-11,2-15,L2,1-9,False
